obs;Rating;Kills;Assists;Deaths;KAST;ADR;Impact;Age
489;0.83;16;8;19;0.63;55.4;0.74;24
490;0.69;11;8;19;0.67;54.1;0.27;22
491;1.53;22;6;15;0.83;112.3;1.63;24
492;1.43;19;1;7;0.78;66.6;1.29;16
493;1.23;17;6;14;0.78;84;1.3;23
494;1.18;17;5;15;0.7;85.4;1.26;23
495;1.16;15;6;12;0.78;67.7;1.09;23
496;1.3;21;1;14;0.74;83.9;1.19;21
497;0.81;13;5;19;0.61;70.1;0.71;28
498;0.68;13;0;19;0.52;63.9;0.58;21
499;0.57;8;4;21;0.57;51.7;0.35;24
500;0.54;8;3;17;0.48;41.2;0.47;26
501;1.49;26;8;16;0.79;98.8;1.62;21
502;1.36;23;6;17;0.82;92;1.23;28
503;1.18;22;2;13;0.79;68.1;0.85;21
504;1.07;20;4;20;0.82;67;1.06;24
505;0.93;14;3;21;0.64;66.8;1.15;26
506;1.08;22;4;22;0.68;84.5;1.14;24
507;0.96;19;5;20;0.68;75.1;0.78;23
508;0.95;18;7;22;0.61;79.7;1.02;23
509;0.83;16;1;19;0.54;57.1;0.93;16
510;0.72;12;3;22;0.71;55.4;0.38;23
511;0.95;17;6;20;0.52;77.1;1.28;26
512;0.9;17;5;20;0.64;78;0.75;24
513;0.79;13;3;20;0.52;64.9;0.96;21
514;0.75;9;6;19;0.68;59.9;0.53;28
515;0.72;11;2;18;0.64;33.1;0.75;21
516;1.71;28;5;14;0.8;121.8;1.76;24
517;1.32;18;2;14;0.84;83.6;1.11;23
518;1.26;20;4;14;0.8;76.4;1.14;16
519;1.19;15;4;13;0.76;63.8;1.42;23
520;1.03;16;6;13;0.76;67.2;0.83;23
